Baringo,3
Bomet,5.80
Bungoma,3.20
Busia,6.80
Elgeiyo-Marakwet,2.50
Embu,3.70
Garissa,2.10
Homa Bay,25.70
Isiolo,4.20
Kajiado,4.40
Kakamega,5.90
Kericho,3.40
Kiambu,3.80
Kilifi,4.40
Kirinyaga,3.30
Kisii,8
Kisumu,19.30
Kitui,4.30
Kwale,5.70
Laikipia,3.70
Lamu,2.30
Machakos,5
Makueni,5.60
Mandera,1.70
Marsabit,1.20
Meru,3
Migori,14.70
Mombasa,7.40
Murang'a,5.20
Nairobi,6.80
Nakuru,5.30
Nandi,3.70
Narok,5
Nyamira,6.40
Nyandarua,3.80
Nyeri,4.30
Samburu,5
Siaya,23.70
Taita Taveta,6.10
Tana River,1
Tharaka,4.30
Trans Nzoia,5.10
Turkana,7.60
Uasin Gishu,4.30
Vihiga,3.80
Wajir,0.20
West Pokot,2.80
