Baringo,108
Bomet,174
Bungoma,127
Busia,329
Elgeiyo-Marakwet,109
Embu,66
Garissa,119
Homa Bay,426
Isiolo,338
Kajiado,292
Kakamega,185
Kericho,248
Kiambu,257
Kilifi,220
Kirinyaga,263
Kisii,170
Kisumu,379
Kitui,71
Kwale,197
Laikipia,159
Lamu,208
Machakos,60
Makueni,52
Mandera,126
Marsabit,236
Meru,158
Migori,309
Mombasa,535
Murang'a,183
Nairobi,490
Nakuru,237
Nandi,83
Narok,159
Nyamira,139
Nyandarua,126
Nyeri,234
Samburu,211
Siaya,322
Taita Taveta,211
Tana River,63
Tharaka,62
Trans Nzoia,155
Turkana,200
Uasin Gishu,190
Vihiga,198
Wajir,125
West Pokot,191
